id1,latitude,longitude,id,value,units
1441bgme,51.5047,-0.1283,feels_like_temperature,16,C
1441bgme,51.5047,-0.1283,precipitation_probability,52,%
1441bgme,51.5047,-0.1283,screen_relative_humidity,51,%
1441bgme,51.5047,-0.1283,temperature,18,C
1441bgme,51.5047,-0.1283,wind_gust,18,mph
1441bgme,51.5047,-0.1283,wind_speed,11,mph
2gh0nxyt,51.525,-0.1257,feels_like_temperature,14,C
2gh0nxyt,51.525,-0.1257,precipitation_probability,4,%
2gh0nxyt,51.525,-0.1257,screen_relative_humidity,66,%
2gh0nxyt,51.525,-0.1257,temperature,16,C
2gh0nxyt,51.525,-0.1257,wind_gust,13,mph
2gh0nxyt,51.525,-0.1257,wind_speed,9,mph
2nkg9yfw,51.502,-0.1998,feels_like_temperature,15,C
2nkg9yfw,51.502,-0.1998,precipitation_probability,44,%
2nkg9yfw,51.502,-0.1998,screen_relative_humidity,55,%
2nkg9yfw,51.502,-0.1998,temperature,17,C
2nkg9yfw,51.502,-0.1998,wind_gust,18,mph
2nkg9yfw,51.502,-0.1998,wind_speed,11,mph
34hpxvaw,51.463,-0.0076,feels_like_temperature,14,C
34hpxvaw,51.463,-0.0076,precipitation_probability,3,%
34hpxvaw,51.463,-0.0076,screen_relative_humidity,69,%
34hpxvaw,51.463,-0.0076,temperature,16,C
34hpxvaw,51.463,-0.0076,wind_gust,13,mph
34hpxvaw,51.463,-0.0076,wind_speed,9,mph
3v7cqpp6,51.4982,-0.1323,feels_like_temperature,16,C
3v7cqpp6,51.4982,-0.1323,precipitation_probability,52,%
3v7cqpp6,51.4982,-0.1323,screen_relative_humidity,51,%
3v7cqpp6,51.4982,-0.1323,temperature,18,C
3v7cqpp6,51.4982,-0.1323,wind_gust,18,mph
3v7cqpp6,51.4982,-0.1323,wind_speed,11,mph
4nxw71ge,51.4881,-0.1996,feels_like_temperature,15,C
4nxw71ge,51.4881,-0.1996,precipitation_probability,1,%
4nxw71ge,51.4881,-0.1996,screen_relative_humidity,65,%
4nxw71ge,51.4881,-0.1996,temperature,16,C
4nxw71ge,51.4881,-0.1996,wind_gust,13,mph
4nxw71ge,51.4881,-0.1996,wind_speed,9,mph
4sdzkzwr,51.56,-0.178,feels_like_temperature,14,C
4sdzkzwr,51.56,-0.178,precipitation_probability,33,%
4sdzkzwr,51.56,-0.178,screen_relative_humidity,60,%
4sdzkzwr,51.56,-0.178,temperature,17,C
4sdzkzwr,51.56,-0.178,wind_gust,18,mph
4sdzkzwr,51.56,-0.178,wind_speed,13,mph
6xz25yxr,51.4922,-0.1178,feels_like_temperature,15,C
6xz25yxr,51.4922,-0.1178,precipitation_probability,3,%
6xz25yxr,51.4922,-0.1178,screen_relative_humidity,65,%
6xz25yxr,51.4922,-0.1178,temperature,16,C
6xz25yxr,51.4922,-0.1178,wind_gust,13,mph
6xz25yxr,51.4922,-0.1178,wind_speed,9,mph
773qrh86,51.5392,-0.1425,feels_like_temperature,14,C
773qrh86,51.5392,-0.1425,precipitation_probability,4,%
773qrh86,51.5392,-0.1425,screen_relative_humidity,66,%
773qrh86,51.5392,-0.1425,temperature,16,C
773qrh86,51.5392,-0.1425,wind_gust,16,mph
773qrh86,51.5392,-0.1425,wind_speed,9,mph
805dwjyp,51.5145,0.0582,feels_like_temperature,16,C
805dwjyp,51.5145,0.0582,precipitation_probability,46,%
805dwjyp,51.5145,0.0582,screen_relative_humidity,54,%
805dwjyp,51.5145,0.0582,temperature,18,C
805dwjyp,51.5145,0.0582,wind_gust,16,mph
805dwjyp,51.5145,0.0582,wind_speed,9,mph
a6n273mm,51.509,-0.029,feels_like_temperature,16,C
a6n273mm,51.509,-0.029,precipitation_probability,5,%
a6n273mm,51.509,-0.029,screen_relative_humidity,52,%
a6n273mm,51.509,-0.029,temperature,18,C
a6n273mm,51.509,-0.029,wind_gust,13,mph
a6n273mm,51.509,-0.029,wind_speed,9,mph
bqpy67ez,51.542,-0.017,feels_like_temperature,15,C
bqpy67ez,51.542,-0.017,precipitation_probability,75,%
bqpy67ez,51.542,-0.017,screen_relative_humidity,54,%
bqpy67ez,51.542,-0.017,temperature,18,C
bqpy67ez,51.542,-0.017,wind_gust,13,mph
bqpy67ez,51.542,-0.017,wind_speed,9,mph
cr9q29ne,51.582,-0.1027,feels_like_temperature,14,C
cr9q29ne,51.582,-0.1027,precipitation_probability,52,%
cr9q29ne,51.582,-0.1027,screen_relative_humidity,58,%
cr9q29ne,51.582,-0.1027,temperature,17,C
cr9q29ne,51.582,-0.1027,wind_gust,18,mph
cr9q29ne,51.582,-0.1027,wind_speed,13,mph
d282v8j0,51.5149,-0.1367,feels_like_temperature,15,C
d282v8j0,51.5149,-0.1367,precipitation_probability,30,%
d282v8j0,51.5149,-0.1367,screen_relative_humidity,54,%
d282v8j0,51.5149,-0.1367,temperature,17,C
d282v8j0,51.5149,-0.1367,wind_gust,18,mph
d282v8j0,51.5149,-0.1367,wind_speed,11,mph
dkkj07my,51.5353,-0.102,feels_like_temperature,14,C
dkkj07my,51.5353,-0.102,precipitation_probability,3,%
dkkj07my,51.5353,-0.102,screen_relative_humidity,66,%
dkkj07my,51.5353,-0.102,temperature,16,C
dkkj07my,51.5353,-0.102,wind_gust,13,mph
dkkj07my,51.5353,-0.102,wind_speed,9,mph
ee3t7kgp,51.504,-0.1052,feels_like_temperature,15,C
ee3t7kgp,51.504,-0.1052,precipitation_probability,29,%
ee3t7kgp,51.504,-0.1052,screen_relative_humidity,54,%
ee3t7kgp,51.504,-0.1052,temperature,17,C
ee3t7kgp,51.504,-0.1052,wind_gust,16,mph
ee3t7kgp,51.504,-0.1052,wind_speed,9,mph
eraqtgrv,51.4862,0.042,feels_like_temperature,14,C
eraqtgrv,51.4862,0.042,precipitation_probability,4,%
eraqtgrv,51.4862,0.042,screen_relative_humidity,69,%
eraqtgrv,51.4862,0.042,temperature,15,C
eraqtgrv,51.4862,0.042,wind_gust,11,mph
eraqtgrv,51.4862,0.042,wind_speed,9,mph
f820tcpj,51.5705,-0.1797,feels_like_temperature,14,C
f820tcpj,51.5705,-0.1797,precipitation_probability,30,%
f820tcpj,51.5705,-0.1797,screen_relative_humidity,59,%
f820tcpj,51.5705,-0.1797,temperature,17,C
f820tcpj,51.5705,-0.1797,wind_gust,18,mph
f820tcpj,51.5705,-0.1797,wind_speed,13,mph
fc1746cc,51.4816,-0.1918,feels_like_temperature,15,C
fc1746cc,51.4816,-0.1918,precipitation_probability,30,%
fc1746cc,51.4816,-0.1918,screen_relative_humidity,55,%
fc1746cc,51.4816,-0.1918,temperature,17,C
